n,positives,negatives,auroc,auprc,balanced_accuracy,accuracy,precision,sensitivity,specificity,f1,mcc,brier,tp,tn,fp,fn,model,repeat,fold
74,31,43,0.8649662415603901,0.8330235026258436,0.7501875468867216,0.7567567567567568,0.7096774193548387,0.7096774193548387,0.7906976744186046,0.7096774193548387,0.5003750937734434,0.1646496111108317,22,34,9,9,ECFP,1,1
74,31,43,0.8567141785446362,0.7787078151123086,0.7753188297074268,0.7702702702702703,0.6944444444444444,0.8064516129032258,0.7441860465116279,0.746268656716418,0.5435480430963543,0.16305408713210204,25,32,11,6,ECFP_StateCore,1,1
74,31,43,0.854463615903976,0.8163135832712043,0.7798199549887472,0.7702702702702703,0.6842105263157895,0.8387096774193549,0.7209302325581395,0.7536231884057971,0.5524343871251775,0.16276054650588642,26,31,12,5,ECFP_FluxCore,1,1
74,31,43,0.8507126781695424,0.7618276026468167,0.8030757689422356,0.7972972972972973,0.7222222222222222,0.8387096774193549,0.7674418604651163,0.7761194029850746,0.5983471646074309,0.16406616990834796,26,33,10,5,ECFP_StateFluxCore,1,1
76,31,45,0.8594982078853047,0.8007464083024827,0.7881720430107527,0.8026315789473685,0.7857142857142857,0.7096774193548387,0.8666666666666667,0.7457627118644068,0.5871773716220744,0.1555468190738439,22,39,6,9,ECFP,1,2
76,31,45,0.8695340501792115,0.825508341836498,0.8415770609318997,0.8421052631578947,0.7878787878787878,0.8387096774193549,0.8444444444444444,0.8125,0.6773522832842093,0.15249929164907775,26,38,7,5,ECFP_StateCore,1,2
76,31,45,0.8724014336917563,0.7984582203066806,0.814336917562724,0.8157894736842105,0.7575757575757576,0.8064516129032258,0.8222222222222222,0.78125,0.623334682518627,0.15843699471669856,25,37,8,6,ECFP_FluxCore,1,2
76,31,45,0.8738351254480287,0.8284905793927033,0.8637992831541219,0.868421052631579,0.8387096774193549,0.8387096774193549,0.8888888888888888,0.8387096774193549,0.7275985663082437,0.1506051943549109,26,40,5,5,ECFP_StateFluxCore,1,2
76,31,45,0.8050179211469534,0.6286507689102679,0.689247311827957,0.6973684210526315,0.625,0.6451612903225806,0.7333333333333333,0.6349206349206349,0.37674325988790797,0.1884280862271328,20,33,12,11,ECFP,1,3
76,31,45,0.8129032258064517,0.6435441065233716,0.8121863799283153,0.7894736842105263,0.6744186046511628,0.9354838709677419,0.6888888888888889,0.7837837837837838,0.6190701350897653,0.18325173791477442,29,31,14,2,ECFP_StateCore,1,3
76,31,45,0.7362007168458782,0.5737922720362654,0.6609318996415771,0.6578947368421053,0.5675675675675675,0.6774193548387096,0.6444444444444445,0.6176470588235294,0.31646528141934105,0.21914987146107304,21,29,16,10,ECFP_FluxCore,1,3
76,31,45,0.7534050179211469,0.5950135386018491,0.6770609318996417,0.6710526315789473,0.5789473684210527,0.7096774193548387,0.6444444444444445,0.6376811594202898,0.3480617091910828,0.21447496340666242,22,29,16,9,ECFP_StateFluxCore,1,3
